F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
1,73,condition,control-flow,BoundaryStressCounter_M1,BOR,3,,coverage_x_purity,evaluated,BoundaryStressCounter,2,True,True,2,True,True,2,True,True
67,74,condition,control-flow,BoundaryStressCounter_M2,BOR,16,,coverage_x_purity,evaluated,BoundaryStressCounter,2,True,True,4,True,True,7,True,True
67,6,condition,control-flow,BoundaryStressCounter_M3,ROR,15,,coverage_x_purity,evaluated,BoundaryStressCounter,2,True,False,5,True,True,7,True,True
67,7,statement,data-flow,BoundaryStressCounter_M4,AOR,19,,coverage_x_purity,evaluated,BoundaryStressCounter,2,False,True,4,True,True,6,True,True
50,7,statement,data-flow,BoundaryStressCounter_M5,SUR,27,,coverage_x_purity,evaluated,BoundaryStressCounter,2,True,False,4,True,True,6,True,True
0,74,statement,data-flow,BoundaryStressCounter_M8,AOR,17,no_tbfv_failures,coverage_x_purity,not_detected,BoundaryStressCounter,,,,,,,,,
1,73,condition,control-flow,BoundaryStressMeter_M1,BOR,3,,coverage_x_purity,evaluated,BoundaryStressMeter,2,True,True,2,True,True,2,True,True
37,74,condition,control-flow,BoundaryStressMeter_M2,BOR,16,,coverage_x_purity,evaluated,BoundaryStressMeter,2,True,True,4,True,True,7,True,True
67,6,condition,control-flow,BoundaryStressMeter_M3,ROR,15,,coverage_x_purity,evaluated,BoundaryStressMeter,2,True,False,5,True,True,7,True,True
67,7,statement,data-flow,BoundaryStressMeter_M4,AOR,19,,coverage_x_purity,evaluated,BoundaryStressMeter,2,True,True,4,True,True,6,True,True
50,7,statement,data-flow,BoundaryStressMeter_M5,SUR,34,,coverage_x_purity,evaluated,BoundaryStressMeter,2,False,False,4,True,False,6,True,True
0,74,statement,data-flow,BoundaryStressMeter_M8,AOR,17,no_tbfv_failures,coverage_x_purity,not_detected,BoundaryStressMeter,,,,,,,,,
