covered_leaves,empty_leaves,expanded_leaves,infeasible_leaves,internal_nodes,leaf_nodes,max_depth,mode,out_of_range_leaves,subject,tests,total_nodes,wall_time_s
4,2,0,3,8,7,6,CSC-only,0,BoundedAliquotClassifier,4,15,1.8402474169852212
11,9,0,14,33,25,10,CSC-only,0,BoundedBinaryPalindromeClassifier,11,58,3.6550365000148304
5,1,0,3,8,8,6,CSC-only,0,BoundedBitTransitionClassifier,5,16,1.9282456249929965
5,0,0,3,7,8,6,CSC-only,0,BoundedDivisorCountClassifier,5,15,2.5055160829797387
4,1,0,2,6,6,6,CSC-only,0,BoundedPerfectSquareLoop,4,12,1.9967228340101428
5,3,0,2,9,7,6,CSC-only,0,BoundedPopcountDensity,5,16,2.3373350839829072
4,2,0,2,7,6,6,CSC-only,0,BoundedProperDivisorParity,4,13,2.065972040989436
5,4,0,1,9,6,6,CSC-only,0,BoundedSquareFreeClassifier,5,15,2.4372937079751864
52,0,48,1458,1509,1510,103,CSC+Boundary,0,BoundedAliquotClassifier,52,3019,84.10896475001937
66,0,64,233,298,299,16,CSC+Boundary,0,BoundedBinaryPalindromeClassifier,66,597,30.95156895800028
66,0,64,248,313,314,17,CSC+Boundary,0,BoundedBitTransitionClassifier,66,627,29.345401707978453
52,0,49,1512,1563,1564,105,CSC+Boundary,0,BoundedDivisorCountClassifier,52,3127,94.69198962498922
103,0,99,101,203,204,203,CSC+Boundary,0,BoundedPerfectSquareLoop,103,407,89.99802166700829
130,0,126,418,547,548,19,CSC+Boundary,0,BoundedPopcountDensity,130,1095,58.64966304198606
52,0,48,1410,1461,1462,102,CSC+Boundary,0,BoundedProperDivisorParity,52,2923,87.35605966701405
40,0,35,93,132,133,22,CSC+Boundary,0,BoundedSquareFreeClassifier,40,265,17.742716250009835
